2,3,4,6,8,9,10,12,13
0.0,0.004,0.015,0.097,0.54,1.523,4.089,63.322,142.182
0.0,0.002,0.007,0.093,0.446,1.366,2.178,18.313,87.671
0.0,0.003,0.009,0.087,0.647,1.948,2.524,18.445,99.21

2,3,4,6,8,9,10,12,13
0.0,0.0,0.0,0.001,0.002,0.002,0.003,0.004,0.004
0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.002
0.0,0.0,0.0,0.001,0.003,0.003,0.005,0.007,0.007

2,3,4,6,8,9,10,12,13
20,68,260,1988,11028,31764,62868,625364,1878308
16,40,160,1560,9396,25080,45536,258324,1121040
16,40,160,1456,8176,24520,35968,219856,1000396

2,3,4,6,8,9,10,12,13
3,6,6,9,15,16,20,21,26
2,3,4,6,8,9,10,12,13
2,3,4,6,8,9,10,12,13
